Re,G,V,DP
0.4,16.6683968,0.1,5.208874
0.5872,16.761170027247953,0.1468,7.68918675
0.8615999999999999,16.776798514391828,0.2154,11.2928825
1.2648,16.790965211891212,0.3162,16.5915725
1.8568000000000002,16.811169323567427,0.4642,24.3867025
2.7252,16.823025392631735,0.6813,35.8172725
4.0,16.8608688,1.0,52.690215
5.8712,16.912222918653764,1.4678,77.5742525
8.6176,16.979561826958786,2.1544,114.3149
12.6492,17.077638427726658,3.1623,168.76442500000002
18.5664,17.28526542571527,4.6416,250.722775
27.251600000000003,17.625349557457177,6.8129,375.24920000000003
40.0,18.2201624,10.0,569.380075
58.712,19.12196866058046,14.678,877.1008
86.1772,20.514961265856865,21.5443,1381.189
126.4912,22.615259875785824,31.6228,2234.86825
185.6636,25.76045363765434,46.4159,3736.54575
272.5168,30.49416696511922,68.1292,6492.3225
400.0,37.73694319999999,100.0,11792.79475
587.1196,48.84650282497808,146.7799,22405.265
