V03,Re,DP03,DP04,DP05,DP06,DP07,DP08,DP09,G03,G04,G05,G06,G07,G08,G09
0.1,0.4,19.5307575,12.0734345,8.497986,6.69861625,5.7343765,5.208874,4.89946225,62.498424,38.6349904,27.1935552,21.435572,18.3500048,16.6683968,15.6782792
0.1468,0.5872,27.936445,17.7228225,12.67734225,9.96538075,8.49101375,7.68918675,7.242146,60.89688283,38.63285559,27.63453351,21.72290082,18.5090218,16.76117003,15.78669428
0.2154,0.8616,41.025845,26.0281375,18.5607625,14.63707,12.4710475,11.2928825,10.6315675,60.94833055,38.66761374,27.57402043,21.74495079,18.52709006,16.77679851,15.79434355
0.3162,1.2648,60.2815525,38.2432975,27.27197,21.50685,18.3158875,16.5915725,15.6108525,61.00599873,38.70289437,27.59971664,21.76531309,18.53600253,16.79096521,15.7984592
0.4642,1.8568,88.64162,56.226445,40.0280025,31.543985,26.9209775,24.3867025,22.943295,61.10581301,38.76015166,27.59362516,21.74509953,18.55819216,16.81116932,15.81614477
0.6813,2.7252,137.1273425,83.2087875,58.88279,46.2410625,39.4621075,35.8172725,33.7514775,64.40738236,39.08236019,27.65667518,21.71897842,18.53496903,16.82302539,15.85274152
1,4,202.197075,123.9636575,86.7585475,68.00048,58.0622,52.690215,49.5952275,64.703064,39.6683704,27.7627352,21.7601536,18.579904,16.8608688,15.8704728
1.4678,5.8712,293.76335,181.7804,127.5711725,99.915085,85.607265,77.5742525,72.9544025,64.04433302,39.63055457,27.8122191,21.78282273,18.66352691,16.91222292,15.90503393
2.1544,8.6176,438.05875,268.160775,188.220825,147.864525,126.244125,114.3149,107.301675,65.06628296,39.83078723,27.9570479,21.96279614,18.7514482,16.97956183,15.93786483
3.1623,12.6492,651.96315,398.931625,278.820925,218.478925,186.4223,168.764425,158.483475,65.97356608,40.36875692,28.21449451,22.10835658,18.86447712,17.07763843,16.03728678
4.6416,18.5664,994.01785,601.74565,417.88725,326.428625,277.671425,250.722775,235.1787,68.52932437,41.48539469,28.8098759,22.50455877,19.14315236,17.28526543,16.21362978
6.8129,27.2516,1535.7685,921.8799,635.17025,492.573825,416.773425,375.2492,351.231,72.13461522,43.30044005,29.83376829,23.13605425,19.57573075,17.62534956,16.49722145
10,40,2434.48975,1440.92215,981.2914,754.560725,634.888025,569.380075,531.372125,77.903672,46.1095088,31.4013248,24.1459432,20.3164168,18.2201624,17.003908
14.678,58.712,3982.8345,2315.9485,1553.29375,1180.135625,984.18085,877.1008,815.268225,86.83111051,50.49076986,33.86387791,25.7285325,21.45645674,19.12196866,17.77393596
21.5443,86.1772,6780.661,3858.69925,2536.55025,1896.19075,1562.6785,1381.189,1276.63125,100.7139485,57.31370989,37.67567663,28.16434231,23.21064597,20.51496127,18.96195281
31.6228,126.4912,12117.959,6736.34725,4315.41125,3155.51875,2557.317,2234.86825,2049.84175,122.6250326,68.16699091,43.66885918,31.93158101,25.87820939,22.61525988,20.74292473
46.4159,185.6636,22877.5725,12457.449,7748.038,5497.33425,4347.50425,3736.54575,3390.339,157.722315,85.8840113,53.41644049,37.89966283,29.97251718,25.76045364,23.37363877
68.1292,272.5168,45320.4175,24415.62,14794.15025,10128.037,7744.68125,6492.3225,5798.5345,212.8681035,114.6791449,69.48750433,47.57096575,36.37644358,30.49416697,27.23547378
100,400,92707.465,49875.19,29671.295,19687.4375,14519.6175,11792.79475,10290.22975,296.663888,159.600608,94.948144,62.9998,46.462776,37.7369432,32.9287352
146.7799,587.1196,193554.475,104737.5875,61785.14,39989.5125,28539.015,22405.265,18996.575,421.9748889,228.3420823,134.6999473,87.18253657,62.21890599,48.84650282,41.41509839
