H,step,v3d,pi3d,v2d,pi2d
0.2,47,0.099,0.391,0.189,0.806
0.2,48,0.099,0.388,0.188,0.832
0.2,46,0.099,0.42,0.185,0.895
0.2,45,0.099,0.391,0.188,0.76
0.2,74,0.146,0.392,0.277,0.805
0.2,75,0.146,0.389,0.277,0.83
0.2,73,0.146,0.391,0.272,0.894
0.2,72,0.146,0.39,0.276,0.759
0.2,101,0.214,0.411,0.407,0.805
0.2,102,0.214,0.426,0.406,0.83
0.2,100,0.214,0.467,0.4,0.894
0.2,99,0.214,0.39,0.405,0.759
0.2,128,0.314,0.411,0.597,0.804
0.2,129,0.314,0.426,0.596,0.83
0.2,127,0.314,0.467,0.587,0.894
0.2,126,0.314,0.39,0.594,0.758
0.2,153,0.46,0.39,0.872,0.758
0.2,155,0.461,0.411,0.876,0.804
0.2,160,0.461,0.425,0.874,0.829
0.2,154,0.461,0.467,0.862,0.894
0.2,185,0.675,0.468,1.262,0.894
0.2,184,0.675,0.389,1.279,0.757
0.2,186,0.676,0.411,1.285,0.804
0.2,191,0.676,0.425,1.282,0.829
0.2,216,0.991,0.467,1.852,0.893
0.2,215,0.991,0.389,1.876,0.757
0.2,217,0.992,0.41,1.886,0.803
0.2,222,0.993,0.425,1.882,0.828
0.2,247,1.455,0.388,2.754,0.756
0.2,249,1.456,0.41,2.768,0.801
0.2,248,1.456,0.467,2.719,0.892
0.2,254,1.457,0.424,2.762,0.826
0.2,283,2.134,0.387,4.037,0.753
0.2,284,2.135,0.466,3.985,0.89
0.2,286,2.136,0.408,4.06,0.798
0.2,291,2.138,0.422,4.05,0.822
0.2,321,3.133,0.385,5.919,0.748
0.2,323,3.134,0.463,5.849,0.886
0.2,324,3.136,0.406,5.955,0.793
0.2,330,3.138,0.419,5.94,0.816
0.2,364,4.597,0.382,8.671,0.742
0.2,366,4.6,0.46,8.586,0.881
0.2,367,4.601,0.404,8.731,0.788
0.2,373,4.606,0.416,8.71,0.809
0.2,411,6.748,0.379,12.691,0.734
0.2,416,6.751,0.455,12.608,0.873
0.2,415,6.754,0.401,12.798,0.781
0.2,422,6.76,0.412,12.77,0.8
0.2,465,9.904,0.376,18.552,0.723
0.2,473,9.909,0.45,18.524,0.863
0.2,470,9.912,0.398,18.744,0.771
0.2,478,9.922,0.407,18.719,0.788
0.2,532,14.536,0.373,27.066,0.708
0.2,543,14.545,0.443,27.212,0.85
0.2,537,14.549,0.394,27.402,0.758
0.2,548,14.563,0.401,27.416,0.773
0.2,622,21.335,0.369,39.376,0.691
0.2,636,21.348,0.435,39.922,0.832
0.2,627,21.354,0.391,39.942,0.742
0.2,641,21.374,0.395,40.061,0.754
0.2,746,31.316,0.368,57.095,0.675
0.2,775,31.333,0.428,58.356,0.811
0.2,756,31.344,0.389,57.998,0.724
0.2,778,31.373,0.39,58.329,0.733
0.2,923,45.969,0.371,82.616,0.661
0.2,996,45.99,0.425,84.863,0.791
0.2,943,46.008,0.391,83.988,0.71
0.2,989,46.049,0.388,84.611,0.713
0.2,1000,67.478,0.384,119.808,0.668
0.2,1185,67.479,0.375,119.59,0.652
0.2,1350,67.506,0.425,122.955,0.775
0.2,1237,67.535,0.396,121.336,0.701
0.2,1000,67.536,0.414,121.797,0.733
0.2,1310,67.594,0.39,122.569,0.7
0.2,1000,68.821,0.468,118.218,0.808
0.2,1000,76.856,0.545,124.009,0.877
0.2,1587,99.058,0.382,173.363,0.646
0.2,1805,99.09,0.428,178.03,0.761
0.2,1698,99.138,0.403,175.62,0.695
0.2,1771,99.222,0.394,177.746,0.691
0.2,2000,145.422,0.389,251.933,0.643
0.2,2191,145.422,0.388,251.773,0.642
0.2,2000,145.454,0.433,258.876,0.754
0.2,2385,145.455,0.431,258.085,0.751
0.2,2000,145.535,0.41,254.892,0.693
0.2,2331,145.535,0.411,254.759,0.693
0.2,2000,145.655,0.401,258.132,0.687
0.2,2410,145.655,0.399,258.27,0.684
0.2,3000,213.491,0.396,366.663,0.642
0.2,3683,213.491,0.396,366.668,0.642
0.2,9000,213.519,0.435,375,0.743
0.2,3000,213.65,0.417,371.095,0.691
0.2,3122,213.651,0.417,371.064,0.691
0.2,9000,313.423,0.403,534.799,0.642
0.2,8000,313.424,0.403,534.885,0.642
0.2,12000,313.433,0.439,547.2,0.739
0.2,10000,313.646,0.423,541.55,0.689
0.2,9000,313.646,0.423,541.597,0.689
0.2,12000,313.897,0.409,548.039,0.678
0.3,46,0.099,0.453,0.182,0.89
0.3,48,0.099,0.459,0.176,0.953
0.3,44,0.099,0.453,0.183,0.853
0.3,73,0.146,0.459,0.267,0.889
0.3,79,0.146,0.458,0.259,0.952
0.3,71,0.146,0.451,0.269,0.852
0.3,100,0.214,0.476,0.392,0.888
0.3,110,0.214,0.534,0.38,0.952
0.3,98,0.214,0.451,0.395,0.851
0.3,141,0.314,0.534,0.558,0.952
0.3,125,0.314,0.451,0.579,0.851
0.3,127,0.314,0.476,0.576,0.888
0.3,172,0.461,0.534,0.819,0.952
0.3,152,0.461,0.451,0.85,0.851
0.3,154,0.461,0.476,0.845,0.888
0.3,183,0.677,0.451,1.246,0.85
0.3,185,0.677,0.477,1.237,0.888
0.3,203,0.677,0.534,1.202,0.953
0.3,214,0.993,0.45,1.828,0.85
0.3,216,0.993,0.476,1.816,0.888
0.3,234,0.993,0.534,1.764,0.952
0.3,246,1.458,0.449,2.684,0.848
0.3,248,1.458,0.476,2.665,0.887
0.3,266,1.458,0.534,2.588,0.952
0.3,282,2.14,0.448,3.934,0.845
0.3,284,2.14,0.475,3.907,0.885
0.3,303,2.14,0.534,3.789,0.952
0.3,321,3.139,0.445,5.772,0.84
0.3,323,3.139,0.473,5.734,0.882
0.3,342,3.139,0.533,5.558,0.951
0.3,364,4.611,0.441,8.468,0.834
0.3,366,4.611,0.47,8.418,0.878
0.3,385,4.611,0.531,8.153,0.948
0.3,414,6.768,0.437,12.424,0.825
0.3,416,6.768,0.466,12.36,0.873
0.3,434,6.768,0.527,11.973,0.945
0.3,471,9.933,0.432,18.228,0.814
0.3,474,9.933,0.462,18.159,0.865
0.3,492,9.933,0.523,17.598,0.94
0.3,542,14.579,0.425,26.715,0.799
0.3,546,14.579,0.456,26.673,0.854
0.3,561,14.579,0.518,25.884,0.934
0.3,637,21.398,0.419,39.044,0.779
0.3,641,21.398,0.449,39.103,0.838
0.3,650,21.398,0.512,38.064,0.926
0.3,776,31.408,0.414,56.78,0.756
0.3,781,31.408,0.443,57.11,0.818
0.3,772,31.408,0.506,55.879,0.914
0.3,985,46.099,0.414,82.265,0.736
0.3,1000,46.099,0.442,82.845,0.799
0.3,1005,46.099,0.442,82.843,0.799
0.3,954,46.099,0.502,81.624,0.9
0.3,1000,67.666,0.485,115.26,0.822
0.3,1295,67.666,0.417,119.107,0.723
0.3,1371,67.666,0.445,119.825,0.784
0.3,1231,67.666,0.502,118.483,0.885
0.3,1000,67.666,0.524,118.328,0.914
